PartitionKey,RowKey,Timestamp,ShortName,ShortName@type,LongName,LongName@type,Url,Url@type,Profile,Profile@type
8 Minutes 20 Seconds,8minutes20seconds,2022-01-16T07:39:36.683Z,8 Minutes 20 Seconds,Edm.String,8 Minutes 20 Seconds Records,Edm.String,www.prettylightsmusic.com,Edm.String,8 Minutes 20 Seconds Records was established to release music from the American electronic music artist Pretty Lights (real name Derek Vincent Smith).,Edm.String
Adult Swim,adultswim,2022-01-16T07:40:27.801Z,Adult Swim,Edm.String,Adult Swim,Edm.String,www.adultswim.com,Edm.String,"Adult Swim (stylized as [adult swim] and often abbreviated as AS) is an American adult-oriented nighttime programming block of the basic cable network Cartoon Network that is programmed by its in-house production studio, Williams Street. Marketed as a separate network for ratings purposes, Adult Swim broadcasts from 9 p.m. to 6 a.m. ET/PT. Adult Swim has partnerships with several independent music labels, and has co-produced and released compilation albums with Stones Throw Records, Ghostly International, Definitive Jux, and Chocolate Industries through their own label, Williams Street Records. Many of Adult Swim's bumps and packaging make use of instrumental and electronic music. Various music is also often borrowed from artists signed onto a wide array of different labels, including Warp Records and Ninja Tune Records.",Edm.String
Columbia,columbia,2022-01-16T07:41:25.352Z,Columbia,Edm.String,Columbia Records,Edm.String,www.columbiarecords.com,Edm.String,"Columbia Records is an American record label owned by Sony Music Entertainment, a subsidiary of Sony Corporation of America, the North American division of Japanese conglomerate Sony. It was founded on January 15, 1889, evolving from the American Graphophone Company, the successor to the Volta Graphophone company. Columbia is the oldest surviving brand name in the recorded sound business, and the second major company to produce records. From 1961 to 1991, Columbia recordings were released outside North America under the name CBS Records to avoid confusion with EMI's Columbia Graphophone Company. Columbia is one of Sony Music's four flagship record labels, alongside former longtime rival RCA Records, as well as Arista Records and Epic Records. Artists who have recorded for Columbia include AC/DC, Adele, Aerosmith, Louis Armstrong, Gene Autry, Count Basie, Tony Bennett, Leonard Bernstein, Beyoncé, Blue Öyster Cult, The Byrds, Mariah Carey, Johnny Cash, Cheap Trick, The Clash, Leonard Cohen, Miles Davis, Doris Day, Neil Diamond, Celine Dion, Bob Dylan, Earth, Wind & Fire, Duke Ellington, Billie Holiday, Billy Joel, Janis Joplin, Johnny Mathis, George Michael, Willie Nelson, Pink Floyd, Santana, Frank Sinatra, Simon & Garfunkel, Bruce Springsteen, Barbra Streisand, Journey, Tyler, The Creator, and numerous other artists.",Edm.String
Elektra,elektra,2022-01-16T07:42:14.682Z,Elektra,Edm.String,Elektra Records,Edm.String,www.electramusicgroup.com,Edm.String,"Elektra Records (formerly Elektra Entertainment Group Inc.) is an American record label owned by Warner Music Group, founded in 1950 by Jack Holzman and Paul Rickolt. It played an important role in the development of contemporary and rock music between the 1950s and 1970s. In 2004, it was consolidated into WMG's Atlantic Records Group. After five years of dormancy, the label was revived as an imprint of Atlantic in 2009. In October 2018, Elektra was detached from the Atlantic Records umbrella and reorganized into Elektra Music Group, once again operating as an independently managed frontline label of Warner Music.",Edm.String
Empire,empire,2022-01-16T07:43:10.233Z,Empire,Edm.String,"EMPIRE Distribution, Records and Publishing Inc.",Edm.String,www.empi.re,Edm.String,"EMPIRE Distribution, Records and Publishing Inc. (marketed as EMPIRE) is an American distribution company and record label founded in 2010 by Ghazi Shami and headquartered in San Francisco, CA with offices in New York City, London, Nashville, and Atlanta. It has released music in various genres, but is predominantly focuses on hip-hop music. Many prominent companies and artists have partnerships with EMPIRE, with music being distributed across platforms such as iTunes, Google Play, Amazon, Deezer, Spotify, SoundCloud, and Rdio, along with physical CDs and vinyl being distributed to traditional record stores.",Edm.String
Epic,epic,2022-01-16T07:44:42.862Z,Epic,Edm.String,Epic Records,Edm.String,www.epicrecords.com,Edm.String,"Epic Records is a record label launched in 1953 by CBS. Its bright-yellow and black logo became a familiar trademark for many jazz and classical music releases. This has included such notables as the Berlin Philharmonic, the Juilliard String Quartet, Antal Dorati conducting the Hague Philharmonic and George Szell conducting the Cleveland Orchestra. Ten years later, Epic earned its first gold records and developed into a formidable hit-making force in rock, R&B, and country. Among its many acts were Bobby Vinton, Sly and the Family Stone, The Dave Clark Five and Donovan. During the 1970s, the label's success extended to include The Hollies, Edgar Winter, ABBA and Tammy Wynette. The 1980s and 1990s saw Epic releasing numerous multi-platinum albums from artists such as Meat Loaf, The Jacksons, Sade, Michael Jackson, Cyndi Lauper, Pearl Jam and others.",Edm.String
Epic Associated,epicassociated,2022-01-16T07:45:30.926Z,Epic Associated,Edm.String,Epic Associated,Edm.String,www.epicrecords.com,Edm.String,"Epic Associated was an imprint of Sony Music that began in 1991 around the same time as the Sony Corporation renamed CBS Records to Sony Music (after initially purchasing it in 1987). Sony operated Epic Associated as a sister label to Epic from 1991 to 2004, at which point its operation was absorbed into the Epic label proper. Epic Associated's original focus was mostly on rock bands of different stripes that might have otherwise been co-releases with smaller ""associated"" imprints, as evidenced by key released from act such as The Spin Doctors, Pearl Jam, Ozzy Osbourne and Rage Against The Machine.",Edm.String
Fat,fat,2022-01-16T07:47:12.597Z,Fat,Edm.String,Fat Wreck Chords,Edm.String,www.fatwreck.com,Edm.String,"Fat Wreck Chords (pronounced ""Fat Records"") is a San Francisco, California-based independent record label, focused on punk rock. It was started by NOFX lead singer Michael Burkett (better known as Fat Mike) and his wife at the time, Erin Burkett, in 1990. The label has released material for many notable bands including NOFX, Good Riddance, Mad Caddies, Descendents, Me First And The Gimme Gimmes, Screeching Weasel, Propagandhi, Rise Against, Lagwagon, Strung Out, No Use For A Name, Wizo, Less Than Jake, Against Me!, Hi-Standard, Snuff, Consumed, Leftöver Crack and Anti-Flag.",Edm.String
Kill Rock Stars,killrockstars,2022-01-16T07:48:11.498Z,Kill Rock Stars,Edm.String,Kill Rock Stars,Edm.String,www.killrockstars.com,Edm.String,"Kill Rock Stars is an independent record label founded in 1991 by Slim Moon and Tinuviel Sampson, and based in both Olympia, Washington and Portland, Oregon. The label has released a variety of work in different genres, but was originally known for its commitment to underground punk rock bands and the Olympia area music scene.",Edm.String
Lightyear,lightyear,2022-01-16T07:49:19.855Z,Lightyear,Edm.String,Lightyear Entertainment,Edm.String,www.lightyear.com,Edm.String,"Headquartered in Studio City, California, Lightyear Entertainment is a distributor of independent motion pictures in theaters, on DVD, Blu-ray, Video On Demand, as well as a distributor of music and music videos on CD, DVD, and digital distribution. Lightyear's music business in North America is conducted through Caroline Distribution/Universal Music Group.",Edm.String
People Like You,peoplelikeyou,2022-01-16T07:51:58.321Z,People Like You,Edm.String,"""I Used To Fuck People Like You In Prison"" Records",Edm.String,www.centurymedia.com,Edm.String,"People Like You Records is a sublabel of Century Media that releases punk and psychobilly vinyl records and CDs. Its full name is derived from a quote from the American film Road House from 1989. Contact info: People Like You Records via Century Media Records Ltd., Schäferstraße 33 a, 44147 Dortmund, Germany.",Edm.String
Rough Trade,roughtrade,2022-01-16T07:53:00.569Z,Rough Trade,Edm.String,Rough Trade Records,Edm.String,www.roughtraderecords.com,Edm.String,"Rough Trade Records is an independent record label based in London, England. It was formed in 1978 by Geoff Travis who had opened a record store off Lardbroke Grove. Having successfully promoted and sold records by punk rock and early post-punk and indie pop bands such as the Normal and Desperate Bicycles, Travis began to manage acts and distribute band such as Scritti Politti and began the label, which was informed by left-wing politics and structured as a co-operative. Soon after, Rough Trade also set up a distribution arm that serviced independent retail outlets across Britain, a network that became known as the Cartel. In 1983, Rough Trade signed The Smiths. Interest and investment of major labels in the UK indie scene in the late 1980s, as well as overtrading on behalf of Rough Trade's distribution wing, led to cash flow problems, and eventually to bankruptcy, forcing the label into receivership. However, Travis resurrected the label in the late 1990s, finding success with the Libertines, the Strokes and Antony and the Johnsons. The roster has been diverse, ranging stylistically through alternative rock, post-punk and new wave, garage rock, and psychedelic rock, but also art pop, folk, electronic, and soul.",Edm.String
Todo Mundo,todomundo,2022-01-16T07:55:33.550Z,Todo Mundo,Edm.String,Todomundo Ltd.,Edm.String,,Edm.String,Todo Mundo is an independent record label founded by David Byrne in 2008.,Edm.String
